isa	organic_chemical	interacts_with	treats	disease_or_syndrome;	lipid;	antibiotic
produces	hormone	precedes	co-occurs_with	genetic_function;	physiologic_function;	cell_function	molecular_function	organism_function
interacts_with	invertebrate	exhibits	associated_with	disease_or_syndrome;	animal;	individual_behavior
location_of	vitamin	isa	isa	organism;	alga;	plant
disrupts	mental_process	diagnoses	process_of	rickettsia_or_chlamydia;	pharmacologic_substance;	neoplastic_process	cell_or_molecular_dysfunction	pathologic_function	disease_or_syndrome
exhibits	behavior	causes	result_of	pathologic_function;	invertebrate;	mental_or_behavioral_dysfunction	cell_or_molecular_dysfunction	disease_or_syndrome
interacts_with	age_group	isa	produces	classification;	family_group;	group
issue_in	occupation_or_discipline	conceptual_part_of	measures	biologically_active_substance;	intellectual_product;	diagnostic_procedure
process_of	fungus	produces	uses	clinical_drug;	organism_function;	age_group	family_group
carries_out	educational_activity	manages	produces	manufactured_object;	health_care_related_organization;	patient_or_disabled_group
result_of	physiologic_function	degree_of	property_of	vertebrate;	organism_attribute;	clinical_attribute
affects	cell_function	adjacent_to	location_of	genetic_function;	cell_component;	body_space_or_junction
precedes	neoplastic_process	isa	degree_of	pathologic_function;	mental_or_behavioral_dysfunction;	disease_or_syndrome
measures	receptor	uses	causes	neoplastic_process;	research_activity;	research_device
interacts_with	invertebrate	exhibits	associated_with	family_group;	animal;	behavior	individual_behavior
manifestation_of	physiologic_function	occurs_in	disrupts	fully_formed_anatomical_structure;	pathologic_function;	injury_or_poisoning
location_of	pathologic_function	produces	consists_of	nucleic_acid_nucleoside_or_nucleotide;	fully_formed_anatomical_structure;	body_substance
issue_in	occupation_or_discipline	property_of	uses	clinical_drug;	group_attribute;	patient_or_disabled_group	age_group	group	professional_or_occupational_group	population_group
isa	human_caused_phenomenon_or_process	result_of	result_of	congenital_abnormality;	environmental_effect_of_humans;	disease_or_syndrome	human_caused_phenomenon_or_process	pathologic_function	neoplastic_process	organ_or_tissue_function	cell_function	mental_process	phenomenon_or_process	genetic_function	organism_function	anatomical_abnormality	cell_or_molecular_dysfunction
evaluation_of	governmental_or_regulatory_activity	result_of	result_of	genetic_function;	qualitative_concept;	mental_process
causes	cell_or_molecular_dysfunction	contains	issue_in	occupation_or_discipline;	drug_delivery_device;	clinical_drug
analyzes	chemical_viewed_structurally	assesses_effect_of	affects	mental_process;	diagnostic_procedure;	steroid	organic_chemical	biomedical_or_dental_material	antibiotic	biologically_active_substance	chemical_viewed_functionally	chemical_viewed_structurally	pharmacologic_substance	immunologic_factor	neuroreactive_substance_or_biogenic_amine	inorganic_chemical	hazardous_or_poisonous_substance	indicator_reagent_or_diagnostic_aid	chemical
part_of	tissue	location_of	isa	anatomical_abnormality;	cell;	congenital_abnormality
associated_with	geographic_area	manifestation_of	process_of	vertebrate;	behavior;	mental_or_behavioral_dysfunction
affects	individual_behavior	associated_with	manages	organization;	behavior;	professional_or_occupational_group
measures	steroid	isa	measures	immunologic_factor;	molecular_biology_research_technique;	research_activity
produces	hormone	occurs_in	conceptual_part_of	organ_or_tissue_function;	physiologic_function;	temporal_concept
isa	spatial_concept	property_of	causes	pathologic_function;	amino_acid_sequence;	amino_acid_peptide_or_protein
process_of	natural_phenomenon_or_process	co-occurs_with	disrupts	embryonic_structure;	neoplastic_process;	injury_or_poisoning
location_of	vitamin	isa	interacts_with	vertebrate;	alga;	plant
isa	lipid	interacts_with	interacts_with	indicator_reagent_or_diagnostic_aid;	steroid;	receptor	pharmacologic_substance	biologically_active_substance	immunologic_factor	element_ion_or_isotope	antibiotic	vitamin	biomedical_or_dental_material	enzyme	chemical_viewed_functionally	neuroreactive_substance_or_biogenic_amine
location_of	molecular_biology_research_technique	manages	performs	activity;	self_help_or_relief_organization;	patient_or_disabled_group
measurement_of	cell_function	conceptual_part_of	complicates	organism_function;	quantitative_concept;	therapeutic_or_preventive_procedure
result_of	disease_or_syndrome	degree_of	precedes	cell_function;	mental_process;	organism_function
location_of	congenital_abnormality	part_of	developmental_form_of	body_part_organ_or_organ_component;	cell;	tissue
location_of	organism_function	part_of	adjacent_to	tissue;	body_space_or_junction;	body_part_organ_or_organ_component
carries_out	educational_activity	manages	performs	machine_activity;	health_care_related_organization;	patient_or_disabled_group
associated_with	mental_or_behavioral_dysfunction	result_of	treats	sign_or_symptom;	disease_or_syndrome;	therapeutic_or_preventive_procedure
isa	physical_object	manifestation_of	co-occurs_with	mental_or_behavioral_dysfunction;	acquired_abnormality;	disease_or_syndrome
part_of	tissue	conceptual_part_of	issue_in	biomedical_occupation_or_discipline;	cell;	body_system
location_of	organism_function	interconnects	part_of	virus;	body_space_or_junction;	cell
co-occurs_with	physiologic_function	process_of	causes	mental_or_behavioral_dysfunction;	cell_function;	rickettsia_or_chlamydia	invertebrate	virus	bacterium
isa	entity	part_of	location_of	mental_process;	cell;	tissue
diagnoses	cell_or_molecular_dysfunction	exhibits	associated_with	group;	professional_or_occupational_group;	behavior	social_behavior
causes	mental_or_behavioral_dysfunction	interacts_with	interacts_with	rickettsia_or_chlamydia;	fungus;	virus
co-occurs_with	physiologic_function	process_of	location_of	immunologic_factor;	cell_function;	plant	alga	virus	bacterium
result_of	organ_or_tissue_function	disrupts	affects	plant;	injury_or_poisoning;	cell_function	organism_function	mental_process	organ_or_tissue_function
produces	carbohydrate	surrounds	affects	organism_function;	tissue;	cell_component
associated_with	mental_or_behavioral_dysfunction	result_of	complicates	molecular_function;	disease_or_syndrome;	therapeutic_or_preventive_procedure
performs	laboratory_procedure	isa	performs	occupational_activity;	patient_or_disabled_group;	group
produces	hormone	precedes	precedes	physiologic_function;	physiologic_function;	cell_function	molecular_function	organism_function
manifestation_of	mental_or_behavioral_dysfunction	diagnoses	result_of	environmental_effect_of_humans;	sign_or_symptom;	neoplastic_process	pathologic_function	acquired_abnormality	anatomical_abnormality
affects	plant	location_of	location_of	vitamin;	acquired_abnormality;	bacterium	fungus
process_of	disease_or_syndrome	degree_of	associated_with	mental_or_behavioral_dysfunction;	pathologic_function;	disease_or_syndrome
produces	hormone	affects	property_of	mammal;	physiologic_function;	clinical_attribute
measurement_of	cell_function	conceptual_part_of	associated_with	injury_or_poisoning;	quantitative_concept;	therapeutic_or_preventive_procedure
evaluation_of	mental_process	associated_with	location_of	bacterium;	finding;	acquired_abnormality
disrupts	mental_process	diagnoses	result_of	cell_or_molecular_dysfunction;	pharmacologic_substance;	disease_or_syndrome	neoplastic_process	pathologic_function	mental_or_behavioral_dysfunction
issue_in	occupation_or_discipline	conceptual_part_of	analyzes	chemical;	intellectual_product;	diagnostic_procedure
location_of	disease_or_syndrome	developmental_form_of	produces	organic_chemical;	embryonic_structure;	cell
disrupts	cell	isa	interacts_with	immunologic_factor;	immunologic_factor;	biologically_active_substance
isa	functional_concept	conceptual_part_of	contains	body_substance;	body_system;	fully_formed_anatomical_structure
issue_in	biomedical_occupation_or_discipline	measurement_of	interacts_with	amino_acid_peptide_or_protein;	laboratory_or_test_result;	nucleic_acid_nucleoside_or_nucleotide	chemical_viewed_structurally
carries_out	educational_activity	location_of	assesses_effect_of	enzyme;	health_care_related_organization;	laboratory_procedure
affects	vertebrate	occurs_in	conceptual_part_of	temporal_concept;	organ_or_tissue_function;	organism_function
issue_in	biomedical_occupation_or_discipline	indicates	location_of	cell_or_molecular_dysfunction;	laboratory_or_test_result;	anatomical_abnormality	congenital_abnormality	acquired_abnormality
isa	lipid	interacts_with	affects	experimental_model_of_disease;	steroid;	neuroreactive_substance_or_biogenic_amine	vitamin	chemical_viewed_functionally	receptor	chemical	biologically_active_substance	biomedical_or_dental_material	hazardous_or_poisonous_substance	enzyme	antibiotic	immunologic_factor
affects	mammal	occurs_in	affects	organism_attribute;	organ_or_tissue_function;	organism_function
exhibits	behavior	interacts_with	causes	mental_or_behavioral_dysfunction;	animal;	invertebrate
diagnoses	cell_or_molecular_dysfunction	performs	associated_with	acquired_abnormality;	professional_or_occupational_group;	molecular_biology_research_technique	occupational_activity	individual_behavior	educational_activity	laboratory_procedure	research_activity
isa	spatial_concept	associated_with	affects	organ_or_tissue_function;	geographic_area;	pathologic_function	neoplastic_process	acquired_abnormality	experimental_model_of_disease	congenital_abnormality	anatomical_abnormality
exhibits	behavior	causes	complicates	mental_or_behavioral_dysfunction;	invertebrate;	disease_or_syndrome	cell_or_molecular_dysfunction
isa	human_caused_phenomenon_or_process	result_of	produces	neuroreactive_substance_or_biogenic_amine;	environmental_effect_of_humans;	mental_process	organ_or_tissue_function	cell_function	disease_or_syndrome	cell_or_molecular_dysfunction	physiologic_function	organism_function	biologic_function	neoplastic_process	pathologic_function
process_of	fungus	co-occurs_with	precedes	cell_function;	organism_function;	molecular_function	organ_or_tissue_function	genetic_function
affects	clinical_attribute	produces	produces	steroid;	genetic_function;	cell_component
precedes	molecular_function	result_of	associated_with	occupation_or_discipline;	mental_process;	social_behavior	behavior
causes	cell_or_molecular_dysfunction	prevents	disrupts	cell;	drug_delivery_device;	injury_or_poisoning
result_of	health_care_activity	co-occurs_with	disrupts	mental_process;	cell_or_molecular_dysfunction;	injury_or_poisoning
isa	lipid	interacts_with	interacts_with	hormone;	steroid;	biologically_active_substance	neuroreactive_substance_or_biogenic_amine	element_ion_or_isotope	pharmacologic_substance	antibiotic	biomedical_or_dental_material	chemical_viewed_functionally
conceptual_part_of	cell_function	result_of	process_of	disease_or_syndrome;	temporal_concept;	mental_process
complicates	neoplastic_process	associated_with	part_of	fungus;	therapeutic_or_preventive_procedure;	congenital_abnormality	anatomical_abnormality
measures	receptor	uses	causes	mental_or_behavioral_dysfunction;	research_activity;	research_device
affects	physiologic_function	carries_out	result_of	anatomical_abnormality;	gene_or_genome;	molecular_function	genetic_function
issue_in	biomedical_occupation_or_discipline	indicates	part_of	virus;	laboratory_or_test_result;	acquired_abnormality	anatomical_abnormality
interacts_with	virus	causes	manifestation_of	disease_or_syndrome;	fungus;	cell_or_molecular_dysfunction	mental_or_behavioral_dysfunction	experimental_model_of_disease	neoplastic_process
isa	conceptual_entity	affects	carries_out	health_care_activity;	regulation_or_law;	professional_society	self_help_or_relief_organization	organization	health_care_related_organization
isa	spatial_concept	adjacent_to	adjacent_to	body_space_or_junction;	body_location_or_region;	body_part_organ_or_organ_component
analyzes	chemical_viewed_structurally	assesses_effect_of	indicates	mental_or_behavioral_dysfunction;	diagnostic_procedure;	immunologic_factor
diagnoses	cell_or_molecular_dysfunction	performs	associated_with	injury_or_poisoning;	professional_or_occupational_group;	molecular_biology_research_technique	educational_activity	research_activity	laboratory_procedure	occupational_activity	therapeutic_or_preventive_procedure	individual_behavior
diagnoses	cell_or_molecular_dysfunction	performs	measures	chemical_viewed_structurally;	professional_or_occupational_group;	molecular_biology_research_technique	laboratory_procedure
isa	lipid	interacts_with	causes	neoplastic_process;	steroid;	chemical_viewed_functionally	biologically_active_substance	neuroreactive_substance_or_biogenic_amine	receptor	enzyme	hazardous_or_poisonous_substance	immunologic_factor	pharmacologic_substance	antibiotic	chemical	vitamin
causes	cell_or_molecular_dysfunction	isa	treats	anatomical_abnormality;	drug_delivery_device;	medical_device
issue_in	biomedical_occupation_or_discipline	measurement_of	interacts_with	immunologic_factor;	laboratory_or_test_result;	hormone	nucleic_acid_nucleoside_or_nucleotide	biologically_active_substance	inorganic_chemical	vitamin	eicosanoid	lipid	steroid	amino_acid_peptide_or_protein	neuroreactive_substance_or_biogenic_amine	organophosphorus_compound
causes	mental_or_behavioral_dysfunction	consists_of	interacts_with	receptor;	body_substance;	steroid	organic_chemical	carbohydrate	amino_acid_peptide_or_protein	nucleic_acid_nucleoside_or_nucleotide	lipid	organophosphorus_compound
isa	spatial_concept	property_of	causes	neoplastic_process;	amino_acid_sequence;	amino_acid_peptide_or_protein
interacts_with	virus	causes	process_of	disease_or_syndrome;	fungus;	mental_or_behavioral_dysfunction
precedes	neoplastic_process	occurs_in	disrupts	mental_process;	mental_or_behavioral_dysfunction;	injury_or_poisoning
disrupts	mental_process	diagnoses	result_of	organ_or_tissue_function;	pharmacologic_substance;	disease_or_syndrome	pathologic_function	cell_or_molecular_dysfunction
treats	injury_or_poisoning	prevents	disrupts	organism_function;	medical_device;	injury_or_poisoning
affects	cell_function	adjacent_to	location_of	cell_component;	cell_component;	body_space_or_junction
issue_in	biomedical_occupation_or_discipline	indicates	part_of	bacterium;	laboratory_or_test_result;	acquired_abnormality
isa	human_caused_phenomenon_or_process	result_of	process_of	experimental_model_of_disease;	environmental_effect_of_humans;	biologic_function	cell_or_molecular_dysfunction	mental_process	genetic_function	molecular_function	physiologic_function	organism_function	organ_or_tissue_function	cell_function	pathologic_function	natural_phenomenon_or_process	disease_or_syndrome
complicates	neoplastic_process	uses	causes	pathologic_function;	therapeutic_or_preventive_procedure;	medical_device	research_device	manufactured_object	food	drug_delivery_device
result_of	individual_behavior	location_of	result_of	natural_phenomenon_or_process;	acquired_abnormality;	neoplastic_process	cell_or_molecular_dysfunction	mental_or_behavioral_dysfunction	experimental_model_of_disease	pathologic_function
issue_in	occupation_or_discipline	occurs_in	affects	alga;	neoplastic_process;	mental_or_behavioral_dysfunction
location_of	organism_function	interconnects	part_of	fish;	body_space_or_junction;	cell
affects	clinical_attribute	produces	location_of	mental_or_behavioral_dysfunction;	genetic_function;	cell_component
result_of	cell_function	isa	precedes	cell_or_molecular_dysfunction;	mental_or_behavioral_dysfunction;	disease_or_syndrome
result_of	organ_or_tissue_function	disrupts	affects	invertebrate;	injury_or_poisoning;	organ_or_tissue_function	organism_function	cell_function	physiologic_function	genetic_function
affects	plant	precedes	occurs_in	mental_or_behavioral_dysfunction;	cell_or_molecular_dysfunction;	neoplastic_process
interacts_with	enzyme	associated_with	location_of	enzyme;	neuroreactive_substance_or_biogenic_amine;	virus
treats	mental_or_behavioral_dysfunction	causes	disrupts	embryonic_structure;	antibiotic;	injury_or_poisoning
process_of	plant	precedes	occurs_in	mental_or_behavioral_dysfunction;	cell_or_molecular_dysfunction;	neoplastic_process
property_of	group	issue_in	isa	conceptual_entity;	group_attribute;	occupation_or_discipline
isa	functional_concept	conceptual_part_of	produces	organophosphorus_compound;	body_system;	fully_formed_anatomical_structure
location_of	receptor	causes	conceptually_related_to	experimental_model_of_disease;	rickettsia_or_chlamydia;	disease_or_syndrome
evaluation_of	governmental_or_regulatory_activity	result_of	process_of	archaeon;	qualitative_concept;	mental_process
co-occurs_with	acquired_abnormality	location_of	interacts_with	animal;	congenital_abnormality;	rickettsia_or_chlamydia	virus
causes	cell_or_molecular_dysfunction	isa	prevents	injury_or_poisoning;	drug_delivery_device;	medical_device
affects	biologic_function	interacts_with	interacts_with	carbohydrate;	nucleic_acid_nucleoside_or_nucleotide;	amino_acid_peptide_or_protein
produces	carbohydrate	surrounds	produces	organophosphorus_compound;	tissue;	cell_component	cell
disrupts	mental_process	diagnoses	complicates	mental_or_behavioral_dysfunction;	pharmacologic_substance;	neoplastic_process	disease_or_syndrome	pathologic_function	cell_or_molecular_dysfunction
isa	functional_concept	conceptual_part_of	location_of	organ_or_tissue_function;	body_system;	fully_formed_anatomical_structure
part_of	rickettsia_or_chlamydia	complicates	manifestation_of	genetic_function;	anatomical_abnormality;	congenital_abnormality
performs	educational_activity	associated_with	result_of	environmental_effect_of_humans;	population_group;	neoplastic_process	disease_or_syndrome	pathologic_function	acquired_abnormality	anatomical_abnormality
manifestation_of	physiologic_function	occurs_in	disrupts	cell;	pathologic_function;	injury_or_poisoning
property_of	alga	result_of	degree_of	mental_process;	clinical_attribute;	organism_function
exhibits	individual_behavior	interacts_with	causes	disease_or_syndrome;	animal;	invertebrate
produces	carbohydrate	surrounds	produces	organic_chemical;	tissue;	cell_component	cell
complicates	neoplastic_process	uses	causes	congenital_abnormality;	therapeutic_or_preventive_procedure;	research_device	pharmacologic_substance	medical_device	manufactured_object	antibiotic	food
affects	clinical_attribute	produces	part_of	plant;	genetic_function;	cell_component
isa	lipid	interacts_with	affects	cell_function;	steroid;	chemical_viewed_functionally	indicator_reagent_or_diagnostic_aid	element_ion_or_isotope	enzyme	chemical	immunologic_factor	neuroreactive_substance_or_biogenic_amine	biologically_active_substance	hazardous_or_poisonous_substance	biomedical_or_dental_material	pharmacologic_substance	vitamin
affects	cell_function	adjacent_to	location_of	neoplastic_process;	cell_component;	body_space_or_junction
co-occurs_with	physiologic_function	affects	property_of	reptile;	cell_function;	organism_attribute
interacts_with	organic_chemical	affects	co-occurs_with	experimental_model_of_disease;	chemical_viewed_structurally;	disease_or_syndrome	neoplastic_process
treats	injury_or_poisoning	prevents	disrupts	genetic_function;	medical_device;	injury_or_poisoning
result_of	mental_process	co-occurs_with	isa	physiologic_function;	molecular_function;	genetic_function
diagnoses	cell_or_molecular_dysfunction	performs	associated_with	anatomical_abnormality;	professional_or_occupational_group;	molecular_biology_research_technique	research_activity	individual_behavior	occupational_activity	daily_or_recreational_activity	educational_activity	therapeutic_or_preventive_procedure
location_of	pathologic_function	produces	consists_of	organophosphorus_compound;	fully_formed_anatomical_structure;	body_substance
conceptual_part_of	cell_function	result_of	affects	pathologic_function;	temporal_concept;	mental_process
performs	educational_activity	associated_with	result_of	congenital_abnormality;	population_group;	disease_or_syndrome	pathologic_function	mental_or_behavioral_dysfunction	neoplastic_process	experimental_model_of_disease	anatomical_abnormality	acquired_abnormality	cell_or_molecular_dysfunction	injury_or_poisoning
measurement_of	cell_function	conceptual_part_of	uses	antibiotic;	quantitative_concept;	therapeutic_or_preventive_procedure
affects	cell_function	adjacent_to	location_of	diagnostic_procedure;	cell_component;	body_space_or_junction
result_of	cell_or_molecular_dysfunction	isa	manifestation_of	neoplastic_process;	congenital_abnormality;	anatomical_abnormality
interacts_with	organophosphorus_compound	isa	affects	organ_or_tissue_function;	nucleic_acid_nucleoside_or_nucleotide;	organic_chemical
complicates	neoplastic_process	associated_with	location_of	experimental_model_of_disease;	therapeutic_or_preventive_procedure;	anatomical_abnormality	congenital_abnormality
isa	spatial_concept	property_of	affects	organ_or_tissue_function;	amino_acid_sequence;	amino_acid_peptide_or_protein
diagnoses	neoplastic_process	treats	disrupts	embryonic_structure;	antibiotic;	injury_or_poisoning
location_of	vitamin	isa	location_of	hormone;	alga;	plant
precedes	molecular_function	degree_of	process_of	bacterium;	mental_process;	organism_function
isa	spatial_concept	property_of	causes	anatomical_abnormality;	amino_acid_sequence;	amino_acid_peptide_or_protein
associated_with	biomedical_occupation_or_discipline	process_of	associated_with	population_group;	individual_behavior;	social_behavior
part_of	rickettsia_or_chlamydia	complicates	manifestation_of	cell_function;	anatomical_abnormality;	congenital_abnormality
precedes	molecular_function	degree_of	process_of	invertebrate;	mental_process;	organism_function
isa	human_caused_phenomenon_or_process	result_of	process_of	cell_or_molecular_dysfunction;	environmental_effect_of_humans;	biologic_function	physiologic_function	genetic_function	neoplastic_process	organ_or_tissue_function	pathologic_function	mental_process	molecular_function	disease_or_syndrome	organism_function	cell_function	natural_phenomenon_or_process
isa	human_caused_phenomenon_or_process	result_of	complicates	congenital_abnormality;	environmental_effect_of_humans;	cell_or_molecular_dysfunction	disease_or_syndrome	pathologic_function	anatomical_abnormality
disrupts	cell	isa	complicates	anatomical_abnormality;	immunologic_factor;	biologically_active_substance
causes	mental_or_behavioral_dysfunction	consists_of	interacts_with	biomedical_or_dental_material;	body_substance;	nucleic_acid_nucleoside_or_nucleotide	amino_acid_peptide_or_protein	eicosanoid	steroid	organophosphorus_compound	lipid
isa	spatial_concept	associated_with	process_of	bacterium;	geographic_area;	disease_or_syndrome	neoplastic_process	pathologic_function
disrupts	mental_process	diagnoses	affects	molecular_function;	pharmacologic_substance;	disease_or_syndrome	mental_or_behavioral_dysfunction	neoplastic_process	pathologic_function	cell_or_molecular_dysfunction
issue_in	biomedical_occupation_or_discipline	measurement_of	causes	acquired_abnormality;	laboratory_or_test_result;	body_substance	biomedical_or_dental_material	inorganic_chemical	chemical_viewed_structurally	amino_acid_peptide_or_protein	hormone	eicosanoid	nucleic_acid_nucleoside_or_nucleotide	steroid	carbohydrate	hazardous_or_poisonous_substance	vitamin	biologically_active_substance	organophosphorus_compound	substance	indicator_reagent_or_diagnostic_aid
prevents	injury_or_poisoning	treats	disrupts	physiologic_function;	medical_device;	injury_or_poisoning
produces	hormone	precedes	affects	organism_attribute;	physiologic_function;	molecular_function	cell_function	organism_function
isa	spatial_concept	associated_with	occurs_in	professional_or_occupational_group;	geographic_area;	experimental_model_of_disease	neoplastic_process	pathologic_function	disease_or_syndrome	congenital_abnormality	anatomical_abnormality
causes	cell_or_molecular_dysfunction	prevents	disrupts	organism_function;	drug_delivery_device;	injury_or_poisoning
co-occurs_with	genetic_function	process_of	degree_of	mental_process;	molecular_function;	organism_function
location_of	enzyme	isa	location_of	hormone;	alga;	plant
diagnoses	cell_or_molecular_dysfunction	performs	measures	biologically_active_substance;	professional_or_occupational_group;	molecular_biology_research_technique	laboratory_procedure	research_activity
interacts_with	age_group	isa	performs	daily_or_recreational_activity;	family_group;	group
interacts_with	virus	causes	affects	vertebrate;	fungus;	cell_or_molecular_dysfunction	mental_or_behavioral_dysfunction	experimental_model_of_disease
isa	spatial_concept	adjacent_to	location_of	bacterium;	body_location_or_region;	body_part_organ_or_organ_component
assesses_effect_of	amino_acid_peptide_or_protein	method_of	uses	manufactured_object;	laboratory_procedure;	therapeutic_or_preventive_procedure	diagnostic_procedure
interacts_with	age_group	produces	prevents	disease_or_syndrome;	family_group;	medical_device
exhibits	behavior	causes	associated_with	organism_attribute;	invertebrate;	cell_or_molecular_dysfunction	disease_or_syndrome
complicates	neoplastic_process	associated_with	location_of	mental_or_behavioral_dysfunction;	therapeutic_or_preventive_procedure;	anatomical_abnormality	congenital_abnormality
result_of	health_care_activity	co-occurs_with	disrupts	fully_formed_anatomical_structure;	cell_or_molecular_dysfunction;	injury_or_poisoning
isa	conceptual_entity	affects	carries_out	educational_activity;	regulation_or_law;	professional_society	organization	health_care_related_organization
manifestation_of	mental_or_behavioral_dysfunction	diagnoses	process_of	organism;	sign_or_symptom;	pathologic_function	cell_or_molecular_dysfunction	neoplastic_process
location_of	molecular_biology_research_technique	manages	issue_in	biomedical_occupation_or_discipline;	self_help_or_relief_organization;	patient_or_disabled_group
isa	functional_concept	conceptual_part_of	produces	hormone;	body_system;	fully_formed_anatomical_structure
affects	mammal	occurs_in	co-occurs_with	organ_or_tissue_function;	organ_or_tissue_function;	organism_function
isa	event	measures	property_of	reptile;	molecular_biology_research_technique;	organism_attribute
consists_of	body_substance	location_of	complicates	congenital_abnormality;	body_part_organ_or_organ_component;	cell_or_molecular_dysfunction	disease_or_syndrome	experimental_model_of_disease	injury_or_poisoning	pathologic_function	mental_or_behavioral_dysfunction	acquired_abnormality	anatomical_abnormality
performs	research_activity	isa	performs	individual_behavior;	patient_or_disabled_group;	group
issue_in	occupation_or_discipline	property_of	produces	medical_device;	group_attribute;	professional_or_occupational_group	group	age_group
associated_with	mental_or_behavioral_dysfunction	precedes	co-occurs_with	anatomical_abnormality;	disease_or_syndrome;	pathologic_function	cell_or_molecular_dysfunction	mental_or_behavioral_dysfunction
result_of	physiologic_function	degree_of	property_of	archaeon;	organism_attribute;	clinical_attribute
part_of	rickettsia_or_chlamydia	complicates	result_of	injury_or_poisoning;	anatomical_abnormality;	congenital_abnormality
causes	congenital_abnormality	prevents	disrupts	cell_function;	medical_device;	injury_or_poisoning
property_of	alga	result_of	conceptually_related_to	experimental_model_of_disease;	clinical_attribute;	disease_or_syndrome
process_of	fungus	produces	uses	manufactured_object;	organism_function;	age_group	family_group
isa	entity	location_of	interconnects	body_space_or_junction;	body_location_or_region;	body_part_organ_or_organ_component
result_of	physiologic_function	degree_of	measurement_of	physiologic_function;	organism_attribute;	clinical_attribute
associated_with	geographic_area	manifestation_of	manifestation_of	cell_or_molecular_dysfunction;	behavior;	mental_or_behavioral_dysfunction
interacts_with	enzyme	associated_with	causes	mental_or_behavioral_dysfunction;	neuroreactive_substance_or_biogenic_amine;	virus
interacts_with	organic_chemical	affects	isa	event;	chemical_viewed_structurally;	molecular_function	neoplastic_process	cell_function	organism_function	genetic_function	pathologic_function	disease_or_syndrome	mental_process	physiologic_function	mental_or_behavioral_dysfunction
isa	functional_concept	conceptual_part_of	part_of	fungus;	body_system;	fully_formed_anatomical_structure
interacts_with	invertebrate	exhibits	isa	event;	animal;	individual_behavior	behavior
location_of	molecular_biology_research_technique	manages	performs	molecular_biology_research_technique;	self_help_or_relief_organization;	patient_or_disabled_group
affects	cell_function	adjacent_to	contains	body_substance;	cell_component;	body_space_or_junction
associated_with	mental_or_behavioral_dysfunction	result_of	treats	neoplastic_process;	disease_or_syndrome;	therapeutic_or_preventive_procedure
evaluation_of	mental_process	associated_with	part_of	bacterium;	finding;	acquired_abnormality
affects	physiologic_function	carries_out	result_of	biologic_function;	gene_or_genome;	molecular_function	genetic_function
treats	injury_or_poisoning	prevents	disrupts	physiologic_function;	medical_device;	injury_or_poisoning
isa	spatial_concept	property_of	isa	organic_chemical;	amino_acid_sequence;	amino_acid_peptide_or_protein
evaluation_of	governmental_or_regulatory_activity	result_of	process_of	experimental_model_of_disease;	qualitative_concept;	mental_process
